id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
298,353,0.9,0.82,0.25,1585.65,1404.0,648.51,64.24,67.1,13.11
299,337,0.83,0.8,0.29,2404.73,2346.75,1334.71,60.97,64.97,15.61
300,344,0.9,0.88,0.23,2129.42,1539.83,1306.15,64.54,60.83,12.7
301,448,0.8,0.64,0.38,2377.3,2041.0,1355.93,66.06,71.88,18.24
302,372,0.83,0.79,0.22,2605.63,2105.5,2266.76,64.7,70.16,14.95
303,488,0.8,0.76,0.28,1764.38,1449.5,1397.65,62.17,65.25,20.36
304,444,1.03,0.9,0.5,1391.61,938.5,942.24,66.41,70.42,11.88
305,365,0.86,0.8,0.45,2450.74,1836.0,2062.63,70.66,71.2,13.53
306,374,0.9,0.86,0.35,1757.45,1426.0,1118.63,60.68,62.25,16.92
307,302,1.01,1.04,0.15,1230.98,1094.5,392.23,59.62,59.92,3.75
308,362,0.89,0.87,0.33,2110.11,1337.67,2301.25,63.3,63.34,14.55
309,364,0.91,0.88,0.3,3448.59,1421.33,7611.04,65.63,68.32,12.75
310,394,0.78,0.75,0.29,3925.61,1538.0,7060.03,53.75,66.52,24.34
